YEAR,TICKETS SOLD,TOTAL BOX OFFICE,TOTAL INFLATION ADJUSTED BOX OFFICE,AVERAGE TICKET PRICE
2021,423774881,3881777912,3881777912,9.16
2020,223639150,2048534616,2048534616,9.16
2019,1228541916,11253443955,11253444050,9.16
2018,1311536405,11948096650,12013670952,9.11
2017,1225640073,10993991460,11226860216,8.97
2016,1302556754,11267115924,11931416424,8.65
2015,1323357133,11155900636,12121948075,8.43
2014,1257403305,10272985008,11517810744,8.17
2013,1339169291,10887446341,12266787382,8.13
2012,1380922313,10992141616,12649244986,7.96
2011,1282915473,10173519704,11751502955,7.93
2010,1328549306,10482254025,12169509032,7.89
2009,1418567637,10639257284,12994051137,7.5
2008,1358042360,9750744148,12439665380,7.18
2007,1420037051,9769854914,13007535993,6.88
2006,1398738659,9161738221,12812442671,6.55
2005,1372980611,8800805718,12576499367,6.41
2004,1495651613,9287996519,13700165883,6.21
2003,1524589931,9193277289,13965240914,6.03
2002,1575756835,9155147215,14433929789,5.81
2001,1465874493,8296849636,13427407722,5.66
2000,1397460385,7532311479,12800734319,5.39
1999,1444664340,7338894852,13233123027,5.08
1998,1443832682,6771575283,13225505439,4.69
1997,1357349840,6230235770,12433322785,4.59
1996,1305221467,5769078886,11955781912,4.42
1995,1221706066,5314421390,11190826105,4.35
